同学帮你，要说对不起？,6,True or False,FALSE,TRUE,FALSE,,,3
阿姨送你礼物，要说谢谢？,6,True or False,TRUE,TRUE,FALSE,,,3
小白兔撞到了小鸭，不好意思地说：____,6,Fill in the blanks,对不起,对不起,的,不客气,没关系,5
What is the meaning of 不好意思？,6,Multiple choice,Excuse me,Thank you,Excuse me,Meet,Fruit,5
有时候晚上会出现很多星星。,6,True or False,TRUE,TRUE,FALSE,,,6
医生让他在街上躺下。,6,True or False,FALSE,TRUE,FALSE,,,5
_____你们来菲律宾玩儿。,6,Fill in the blanks,欢迎,吓,欢迎,做梦,溜,7
What is the meaning of 吓了一跳？,6,Multiple choice,shocked,Bread,Soup,Shocked,Car,5
三四天的意思是三天到四天,6,True or False,TRUE,TRUE,FALSE,,,5
三百多块钱是比三百少一点,6,True or False,FALSE,TRUE,FALSE,,,6
我认识了_____汉字。,6,Fill in the blanks,五六十个,七八本,四十个人,两三天,五六十个,4
What is the meaning of 运动员?,6,Multiple choice,athlete,Competition,Boat,Car,Athlete,5
12加10等于120,6,True or False,FALSE,TRUE,FALSE,,,4
一瓶汽水，一块蛋糕____多少？,6,Fill in the blanks,一共,一共,找,多少,给,8
我____你五块。,6,Fill in the blanks,找,要,找,一共,多少,3
上课的时候，学生不可以淘气,5,True or False,FALSE,TRUE,FALSE,,,5
老师教你的时候要站起来回答,5,True or False,TRUE,TRUE,FALSE,,,6
我上一年级的______心里有点儿害怕,5,Fill in the blanks,时候,再,只,像,时候,4
What is the meaning of 害怕?,5,Multiple Choice,Fear,Fear,Shocked,Happy,Love,4
时间很宝贵,5,True or False,TRUE,TRUE,FALSE,,,5
每个人都能听懂闽南话,5,True or False,FALSE,TRUE,FALSE,,,7
你华语学了____时间了？,5,Fill in the blanks,多长,多大,多长,多高,多元,4
What is the meaning of 多长?,5,Multiple Choice,how long,How long,How much,How far,How many,8
爸爸妈妈不在家，陌生人都嫩进你家,5,True or False,FALSE,TRUE,FALSE,,,8
你一个人在家的时候不用害怕,5,True or False,TRUE,TRUE,FALSE,,,8
弟弟上三年级了，越来越_____。,5,Fill in the blanks,董事,漂亮,董事,努里,多,6
What is the meaning of 越来越?,5,Multiple Choice,More and more,More and more,Fast,Cap,Chips,4
如果家长不能参加，要通知老师,5,True or False,TRUE,TRUE,FALSE,,,7
每天早上出去，晚上很晚____回来,5,Fill in the blanks,才,如果,才,只,等,9
老师不会关心学生的学习,5,True or False,FALSE,TRUE,FALSE,,,6
